order,family,genus,species,max lifespan
Ruminantia,Cervidae,Muntiacus,Muntiacus_reevesi,23.2
Ruminantia,Cervidae,Elaphurus,Elaphurus_davidianus,27.5
Ruminantia,Bovidae,Philantomba,Philantomba_maxwellii,18.3
Ruminantia,Giraffidae,Okapia,Okapia_johnstoni,33.5
Ruminantia,Bovidae,Oryx,Oryx_dammah,27.5
Ruminantia,Bovidae,Nanger,Nanger_granti,23.0
Ruminantia,Bovidae,Bos,Bos_frontalis,26.2
Ruminantia,Bovidae,Tragelaphus,Tragelaphus_imberbis,19.8
Pholidota,,,Manis_javanica,Unknown
Pholidota,,,Manis_tricuspis,13.5
Pholidota,,,Phataginus_tricuspis,Unknown
Pholidota,Manidae,Manis,Manis_pentadactyla,Unknown
Whippomorpha,Delphinidae,Orcinus,Orcinus_orca,90.0
Whippomorpha,Balaenopteridae,Megaptera,Megaptera_novaeangliae,95.0
Whippomorpha,,,Phocoena_sinus,Unknown
Whippomorpha,Delphinidae,Tursiops,Tursiops_truncatus,51.6
Whippomorpha,Monodontidae,Delphinapterus,Delphinapterus_leucas,40.0
Whippomorpha,Iniidae,Inia,Inia_geoffrensis,31.3
Whippomorpha,,,Physeter_catodon,Unknown
Whippomorpha,Pontoporiidae,Pontoporia,Pontoporia_blainvillei,21.0
Whippomorpha,Hyperoodontidae,Mesoplodon,Mesoplodon_europaeus,48.0
Whippomorpha,Delphinidae,Globicephala,Globicephala_melas,59.0
Whippomorpha,Eschrichtiidae,Eschrichtius,Eschrichtius_robustus,77.0
Whippomorpha,Hippopotamidae,Hippopotamus,Hippopotamus_amphibius,Unknown
Whippomorpha,Balaenopteridae,Balaenoptera,Balaenoptera_physalus,114.0
Whippomorpha,Lipotidae,Lipotes,Lipotes_vexillifer,24.0
Whippomorpha,Hyperoodontidae,Ziphius,Ziphius_cavirostris,62.0
Whippomorpha,,,Neophocaena_asiaeorientalis,Unknown
Whippomorpha,Hyperoodontidae,Mesoplodon,Mesoplodon_densirostris,Unknown
Whippomorpha,Balaenidae,Balaena,Balaena_mysticetus,211.0
Whippomorpha,Delphinidae,Steno,Steno_bredanensis,32.0
Whippomorpha,Delphinidae,Peponocephala,Peponocephala_electra,47.0
Whippomorpha,,,Platanista_minor,Unknown
Whippomorpha,,,Mesoplodon_bidens,Unknown
Whippomorpha,Balaenopteridae,Balaenoptera,Balaenoptera_musculus,110.0
Whippomorpha,Kogiidae,Kogia,Kogia_breviceps,17.0
Whippomorpha,Balaenopteridae,Balaenoptera,Balaenoptera_edeni,72.0
Whippomorpha,Delphinidae,Grampus,Grampus_griseus,42.5
Whippomorpha,Balaenopteridae,Balaenoptera,Balaenoptera_acutorostrata,50.0
Whippomorpha,Balaenidae,Eubalaena,Eubalaena_glacialis,67.0
Whippomorpha,Phocoenidae,Phocoena,Phocoena_phocoena,20.4
Whippomorpha,Delphinidae,Tursiops,Tursiops_aduncus,49.0
Whippomorpha,,,Eubalaena_japonica,Unknown
Whippomorpha,Delphinidae,Lagenorhynchus,Lagenorhynchus_obliquidens,46.0
Whippomorpha,Balaenidae,Eubalaena,Eubalaena_australis,70.0
Whippomorpha,,,Mesoplodon_stejnegeri,Unknown
Whippomorpha,Monodontidae,Monodon,Monodon_monoceros,50.0
Whippomorpha,Delphinidae,Cephalorhynchus,Cephalorhynchus_commersonii,23.0
Whippomorpha,Delphinidae,Sousa,Sousa_chinensis,31.0
Whippomorpha,,,Balaenoptera_bonaerensis,73.0
Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus_ferrumequinum,30.5
Chiroptera,,,Micronycteris_hirsuta,Unknown
Chiroptera,Megadermatidae,Megaderma,Megaderma_lyra,14.0
Chiroptera,,,Leptonycteris_yerbabuenae,Unknown
Chiroptera,Molossidae,Molossus,Molossus_molossus,5.6
Chiroptera,,,Myotis_davidii,Unknown
Chiroptera,Pteropodidae,Eidolon,Eidolon_helvum,21.8
Chiroptera,Vespertilionidae,Myotis,Myotis_lucifugus,34.0
Chiroptera,,,Eonycteris_spelaea,Unknown
Chiroptera,Vespertilionidae,Nycticeius,Nycticeius_humeralis,6.0
Chiroptera,Pteropodidae,Pteropus,Pteropus_giganteus,44.0
Chiroptera,Vespertilionidae,Eptesicus,Eptesicus_fuscus,19.0
Chiroptera,,,Pteronotus_parnellii,Unknown
Chiroptera,,,Macroglossus_sobrinus,Unknown
Chiroptera,,,Tonatia_saurophila,Unknown
Chiroptera,,,Mormoops_blainvillei,Unknown
Chiroptera,,,Pteropus_rufus,Unknown
Chiroptera,Pteropodidae,Pteropus,Pteropus_vampyrus,20.9
Chiroptera,,,Myotis_septentrionalis,Unknown
Chiroptera,Pteropodidae,Rousettus,Rousettus_aegyptiacus,22.9
Chiroptera,Miniopteridae,Miniopterus,Miniopterus_schreibersii,22.0
Chiroptera,,,Hipposideros_galeritus,Unknown
Chiroptera,Pteropodidae,Pteropus,Pteropus_pselaphon,16.7
Chiroptera,,,Rousettus_madagascariensis,Unknown
Chiroptera,Phyllostomidae,Artibeus,Artibeus_jamaicensis,19.2
Chiroptera,Pteropodidae,Cynopterus,Cynopterus_brachyotis,10.1
Chiroptera,Vespertilionidae,Myotis,Myotis_myotis,37.1
Chiroptera,,,Eidolon_dupreanum,Unknown
Chiroptera,,,Miniopterus_natalensis,Unknown
Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus_kuhlii,8.0
Chiroptera,,,Anoura_caudifer,Unknown
Chiroptera,,,Aeorestes_cinereus,Unknown
Chiroptera,Vespertilionidae,Antrozous,Antrozous_pallidus,14.8
Chiroptera,Phyllostomidae,Carollia,Carollia_perspicillata,17.0
